_blov_ = [
blow	blovi	v.ntr as the wind	w
blew	blovis	v.tr	w
had blown	blovis	v.tr	w
draft	trablovo	n. flow of air	w
gust	bloveto	n. small blows of air	
blast	blovego	n.	w
blown	blovita	adj.	
inflate	enblovi	v.tr blow up like a balloon	w
]

_vek_ = [
waken	veki	v.tr	w
awaken	veki	v.tr to wake someone else	w
awake	vekiĝi	v.ntr wake up	w
awaken	vekiĝi	v.ntr to become awake	w
would wake up	vekiĝus	v.ntr	
awakening	vekiĝo	n.	w
]

_strang_ = [
strange	stranga	adj.	w
funny	stranga	adj. strange or curious	w
peculiar	stranga	adj.	w
queer	stranga	adj.	w
weird	stranga	adj.	w
odd	strange	adv. strange	w
oddly	strange	adv.	w
peculiarly	strange	adv.	w
strangely	strange	adv.	w
oddity	strangaĵo	n. an odd thing	w
strangest	plej stranga	adj.	
stranger	pli stranga	phr.	
]

_cel_ = [
goal	celo	n.	w
mean	celi	v.tr idiomatic signaling of intention	
meant	celis	v.tr
object	celo	n. of action	
point	celo	n. of action	
target	celo	n.	
aim	celi	v.tr	w
aim for	celi	v.tr	s
aimless	sencela	adj.	w
]

_ĵet_ = [
cast off	forĵeti	v.tr	
cast	ĵeti	v.tr
fling	ĵeti	v.tr	w
throw down	terĵeti	v.tr	w
thrown	ĵetata	adj.	
toss	ĵeti	v.tr	
toss	ĵeto	n.	
threw it in	enĵetis ĝin	phr.	
throw	ĵeti	v.tr	
throw	ĵeto	n.	
throw out	forĵeti	v.tr	
pitch	ĵeto	n.	w
throw off	deĵeti	v.tr	w
moon-cast	lune ĵetita	adj.	
dashed full-tilt against	plene sin ĵetis kontraŭ	phr.	
]

_ĝust_ = [
accurate	ĝusta	adj.	
correct	ĝusta	adj.	
right	ĝusta	adj. proper	
very	ĝuste	adv. exactly the same way	
properly	ĝuste	adv.	
just	ĝuste	adv. exactly	
adjust	ĝustigi	v.tr	w
wrong	malĝusta	adj. improper	
wrongly	malĝuste	adv. improperly	
wrong	malĝustaĵo	n. a wrong thing
rather	pli ĝuste	adv. more precisely	
]

_pas_ = [
elapse	pasi	v.ntr	w
go past	preterpasi	v.tr	w
pass	preterpasi	v.tr pass by, esp by auto	
passed me by	preterpasis min	phr.	
passes	pasas	v.tr.ntr	
passing	pasanta	adj. eg passing years	
passage	pasejo	n.	
past	pasinta	adj.	
past	pasinteco	n.	
bygone	pasinta	adj.	w
]

_vojaĝ_ = [
voyage	vojaĝo	n. 	w
journey	vojaĝo	n.	w
]

_voj_ = [
way	vojo	n. path	w
lane	vojeto	n. small country road	
road	vojo	n.	
path	vojeto	n.	w
pike	vojo	n. road	
on the way back	survoje reen	phr.	
tramway	tramvojo	n.	w
causeway	digvojo	n. 	w
halfway	duonvoje	adv.	w
on the way	survoje	adv.	w
on my way	survoje	adv.	w
path	vojo	n. 	w
lines of rails	relvojoj	n. railway lines	s
parting of the ways	disiĝo de la vojoj	phr.	w
]

_halt_ = [
halt	halti	v.ntr come to a halt	w
stop	halti	v.ntr	
breaks off	halti	v.ntr cease esp temporarily	w
stop dead	haltu kiel mortinte	adv.	
stopped	haltigis	v.tr stopped a thing in a seemingly temporary way	
desist	halti	v.ntr
]

_don_ = [
give	doni	v.tr	w
grant	doni	v.tr give	w
gave	donis	v.tr	
would give	donus	v.tr	
has given	donis	v.tr	
have given	donis	v.tr	
add	aldoni	v.tr	
added	aldonis	v.tr	
