_tre_ = [ 
quite	tre	adv. very	
very	tre	adv.	
most	tre	adv. very (figurative)	w
]

_tuj_ = [ 
instantly	tuj	adv.	
just	tuj	adv. immediate past	
presently	tuj	adv.	
immediately	tuj	adv.	
instantaneous	tuja	adj.	w
on the instant	tuje	adv. UK 'without delay'	
in one flash	tuje	adv. instantly	w
in an instant	tuje	adv.	
the moment	tuj kiam	phr. immediately when	
]

_ĵus_ = [ 
just	ĵus	adv. immediately preceding in time	
just now	ĵus	adv. time	w
just now	ĵus	adv. occuring just a moment before now	w
newly	ĵus	adv. adv. something that just happened	w
moment ago	ĵus	adv. just ie a moment ago	
]

_baldaŭ_ = [ 
shortly	baldaŭ	adv. soon	w
presently	baldaŭ	adv. soon	
soon	baldaŭ	adv.	
sooner	pli baldaŭ	phr.	
]

_nur_ = [ 
just	nur	adv. merely	
only	nur	adv.	
merely	nur	adv.	w
but	nur	adv. merely	
mere	nura	adj.	
single	ununura	adj.	w
one only	ununura	adj.	w
only	nure	adv.	w
]

_ankoraŭ_ = [ 
still	ankoraŭ	adv. action did not stop	
yet	ankoraŭ	adv. action did not stop, thus far	w
not yet	ankoraŭ ne	adv. action did not start	w
]

_tro_ = [ 
too	tro	adv. to excess	w
too great	troa	adj.	s
too much	troe	phr.	w
too much	troe	adv.	w
excess	troo	n.	w
exaggerate	troigi	v.tr	w
]

_plu_ = [ 
more	plu	adv.	
continuing	plu	adv.	
further	plua	adj.	w
further	plue	adv.	
no longer	ne plu	phr.	w
]

_plej_ = [ 
most	plej	adv.
utmost	plej	adv.	w	
least	malplej	adv.	
]

_pli_ = [ 
more	pli	adv.	
less	malpli	adv.	w
lesser	malpli	adv.	
increase	pliigi	v.tr make something more	w
diminish	malpliigi	v.tr	
reduce	malpliigi	v.tr	w
further	plia	adj.	w
more than	pli ol	phr.	
increase	pliiĝi	v.ntr	w
the more	des pli	phr.	
the more	ju pli	phr.	
all the more	des pli	phr.	
so much the	des pli	phr. "all the better"	
]

_preskaŭ_ = [ 
almost	preskaŭ	adv.	w
nearly	preskaŭ	adv.	w
close upon	preskaŭ	adv. nearly	s
close on	preskaŭ	adv. nearly	s
well-nigh	preskaŭ	adv.	w
]

_almenaŭ_ = [ 
at least	almenaŭ	adv.	w
]

_nun_ = [ 
now	nun	adv.	
present day	nuneco	n.	
as yet	ĝis nun	phr. time	
henceforth	de nun	phr.	
]

_ankaŭ_ = [ 
also	ankaŭ	adv.	w
as well	ankaŭ	adv.	
either	ankaŭ	adv. as well	
likewise	ankaŭ	adv.	
too	ankaŭ	adv. in addition	w
]

_eĉ_ = [ 
even	eĉ	adv.	
still	eĉ	adv. even	w
even from	eĉ de	adv.	
]

_apenaŭ_ = [ 
barely	apenaŭ	adv.	
hardly	apenaŭ	adv.	w
scarce	apenaŭ	adv.	
no sooner … than	apenaŭ … tuj	phr. idiom, no sooner A than B	w
]

_do_ = [ 
so	do	adv. logical consequence	
then	do	adv. logical consequence	
]

_ja_ = [ 
did	ja	adv. emphasize a verb	
indeed	ja	adv.	w
very	ja	adv.  emphasis	
]

_for_ = [ 
away	for	adv.	
distant	for	adv.	
put aside	forigi	v.tr	
indelible	neforigebla	adj.	w
cast off	forigi	v.tr	
absence	foresto	n.	w
remote	fora	adj. 	w
remoter	pli fora	adj.	
farther out	pli fore	adv.	
were absent	forestis	v.ntr	
far away	tre foren	phr.	
clear away	forigi	v.tr	w
removal	forigo	n.	w
afar	de fore	adv.	w
gone	for	adv.	w
]

_hieraŭ_ = [ 
yesterday	hieraŭ	adv.	w
]

_morgaŭ_ = [ 
tomorrow	morgaŭ	adv.	w
by tomorrow	ĝis morgaŭ	phr.	s
till tomorrow	ĝis morgaŭ	phr.	
]

_jam_ = [ 
already	jam	adv. 	w
]

_hodiaŭ_ = [ 
today	hodiaŭ	adv.	w
]

