family farm	etbieno	n.	
farm	bieno	n.	
farm	farmi	v. to farm (land) as a tenant	
farm	farmo	n. rental farm land	
farm	kibuco	n. Israeli collective farm	
farm	kolĥozo	n. Soviet collective farm	
farmer	farmisto	n. tenant farmer	
farmhouse	kampara domo	* complicated by ownership & serfdom	
fellahin	kamparanoj	n. from Arabic peasant farmer	
country	kamparo	n. as in countryside, not city	w
country people	kamparanoj	n.	
reap	rikolti	v.tr	
linked	ligita	adj.	w
peasant	kamparano	n.	
rustics	kamparanoj	n.	w
manger	staltrogo	n.	
harvest	rikolto	n.
till	kultivi	v.tr till the soil	
fallow land	novalo	n. land lying fallow	w
fallowed fields	senkulturejo	n.	w
landed estate	grandbieno	n.	
