cell	ĉelo	n. solo room	w
large room	halo	n. 	
windowless	sen'fenestra	adj. 	
wing	alo	N. wing of a plane or building	
room	ĉambro	n. 	
roof overhang	alero	n.	
monolith	monolito	n. monument made of one block 	w
colonnade	kolonaro	n.	w
pillar	piliero	n. 	w
staircase	ŝtuparo	n. 	w
erect	starigi	v. tr to cause to stand up or be built	w
builder	konstruisto	n. contruction worker	
habitation	loĝejo	n. a place where one lives, inc animals	w
palace	palaco	n.	w
door	pordo	n.	w
stairwell	ŝtuparejo	n.	w
attic	mansardo	n.	w
column	kolono	n. architectural	
treasure-vault	trezorkelo	n. lit. treasure cellar	w
eave	alero	n. roof overhang	
basement	subetaĝo	n.	
balustrade	balustrado	n.	w
building	konstruaĵo	n.	w

ruins	ruinoj	n. remains of ruined buildings	w
