# SEASONS
spring	printempo	n.	w
summer	somero	n.	w
summer	somera	adj.	s
autumn	aŭtuno	n.	w
winter	vintro	n.	w

#MONTHS
January	januaro	n. month	w
February	februaro	n. month	w
March	marto	n. month	w
April	aprilo	n. month	w
May	majo	n. month	w
June	junio	n. month	w
July	julio	n. month	w
August	aŭgusto	n. month	w
September	septembro	n. month	w
October	oktobro	n. month	w
November	novembro	n. month	w
December	decembro	n. month	w

#DAYS
Monday	lundo	n. day of the week	w
Tuesday	mardo	n. day of the week	w
Wednesday	merkredo	n. day of the week	w
Thursday	ĵaŭdo	n. day of the week	w
Friday	vendredo	n. day of the week	w
Saturday	sabato	n. day of the week	w
Sunday	dimanĉo	n. day of the week	w

on Fridays	vendrede	adv.	w
