# STATE OF MATTER
solid	masiva	adj. not porous (pora) or hollow (kava)	
dense	solida	adj.	
massive	solida	adj.dense	
liquid	likvo	n.
gas	gaso	n. state of matter 	

# METAL
metal	metalo	n. 	
iron	fero	n. 	
rusted	rusta	adj.	w
gold	oro	n.	w
golden	ora	adj.	w
silver	arĝenta	adj.	
silver	arĝento	n.	
steel	ŝtalo	n. 	w

radium	radiumo	n.	

benzene	benzeno	n. C6H6	

niter	salpetro	n. potassium nitrate, note this can refer to other compound(s)	w


mud	koto	n.	
muck	koto	n. mud	w
sand	sablo	n.	w
sandy	sabla	adj.	
gravel	gruzo	n. 	w

pebble	ŝtoneto	n.	w
rocks	rokoj	n. not to be confused with stones	
rocks	ŝtonoj	n.	
stone	ŝtona	adj. made of stone	w
thing of stone	ŝtonaĵo	n.	
stone	ŝtono	n.	w
stony	ŝtona	adj.	w
petrified	ŝtonigita	adj. figurative, as if having been turned to stone	w

sandstone	grejso	n. 	
granite	granita	adj.	w
chalk	kreto	n. 	w
