garment	vesto	n. article of clothing	w
ready-made garment	konfekcio	n.	w
close-fitting	strikta	adj.	w

clothes	vesto	n. everything worn by a person	
rags	ĉifonaĵoj	n. worn torn part of a garment	
rags	ĉifonoj	n.	

skirt	jupo	n.	w
dress	robo	n.	w
robe	mantelo	n.	
robe	robo	n.	
snowshoe	rakedo	n.	
mantle	mantelo	n. coat	
jacket	jaketo	n. book jacket or baby’s jacket	
jacket	ĵaketo	n. (1) morning coat; (2) a woman’s suit jacket.; (3) little ĵako.	
jacket	jako	n. as in bed jacket, ski jacket, smoking jacket etc; usually for a man	
glasses	okulvitroj	eyeglasses	w
earrings	orelringoj	n.	w
smoking jacket	smokingo	n.	w

buckle	buko	n.	

dress	vesti	v.tr put clothing onto	w
get dressed	vestiĝi	v.	w

plaid	plejdo	n.	w
