colour	koloro	n.	
colouring	kolorigo	n. the color which has been applied	

red	ruĝa	adj.	w
scarlet	skarlata	adj.	
blush	ruĝiĝi	v.ntr redden, incl. by shame	
rose	roza	adj.	
in pink	rozkolore	adv. wearing pink clothing	

orange	oranĝa	adj.	w

yellow	flava	adj.	w
golden	ora	adj.	w
fair	blonda	adj. blonde	

brown	bruna	adj.	w

turquoise	turkisa	adj.	
blue	blua	adj.	w

purple	purpura	adj.	w
violet	viola	adj.	w

green	verda	adj.
greenish	verdeta	adj.	w

white	blanka	adj.	w
whiteness	blankeco	n.	w

ebony	ebona	adj.	

black	nigra	adj.	
blackened	nigrita	adj.	
blackness	nigreco	n.	

grey	griza	adj.	
pale	pala	adj.	
