boy and girl dance	balo por gejunuloj	phr.	
dance	balo	n. an gathering at which one dances	
dance	danci	v. to dance	w
dance	danco	n. a dance move, like ‘the hustle’	w
dancer	dancanto	n. one who is dancing	w
dancer	dancisto	n. professional dancer	w
dancing	dancado	n.	
partner	kun'danc'ant'ino	n. female dance partner	
square dance	kvadrila danco	n.	w
spin	turni sin	phr. period of dancing	
whirl	girigi	v.tr whirl a dance partner	
dancing-girl	dancistino	n. female professional dancer	w
ballroom	bala salono	n.	w
