becoming extinct	formortas	v.	
dead	morta	adj.	
dead	mortinta	adj.	
death	morto	n.	w
death-throes	agonio	n.	w
die	morti	v.ntr	w
should die	mortus	v.ntr	
died away	formortis	v.ntr	w
fatal	mortiga	adj.	w
kill	mortigi	v.tr	w
execute	ekzekuti	v.tr capital punishment	w
lethal	mortiga	adj.	w
dying	mortante	adv.	w
dance of death	mortodanco	medieval painting theme	w

tomb	tombo	n.	w
grave	tombo	n.	w
burial	entombigo	n.	w
graveyard	tombejo	n.	w

murder	murdi	v.	
corpses	kadavroj	n.	


sepulchral	sepulteja	adj.	w
gravestone	tomboŝtono	n. 	w
ossuary	ostejo	n. 	w
necropolis	nekropolo	n. DEATH	w
sepulcher	sepultejo	n. burial place DEATH	w
slab	slabo	n. over a grave DEATH
mausolean	maŭzolea	adj. DEATH	w
mausoleum	maŭzoleo	adj. DEATH	w
cenotaph	cenotafo	n. DEATH	w
mortuary	mortejo	n. death place in an abstract sense DEATH
