actor	aktoro	n.	
film producer	reĝisoro	n.	
perform	roli	v.tr as an actor	
audience	publiko	n.	w
cinema house	kinejo	n.	w
movie camera	kamerao	n.	
scene	sceno	n.	
dramatic	drama	adj.	
stage	scenejo	n.	w
stage manager	reĝisoro	n.	w
stage review	varia teatraĵo	n.	
videocam	kamerao	n.	
act	akto	n. section of  a play in theater	
performance	prezentado	n.	
satire	satiro	n.	
satirical	satira	adj.	

theatre	teatro	n.	W
farce	farso	n.	W
comedy	komedio	n.	W
play	teatraĵo	n.	w

played a part	ludis rolon	phr.	
dub	dubli	v. dub a film	

showman	spektaklulo	n.	w
