electric	elektra	adj.	
electricity	elektro	n.	

static	statika	adj.	

instrument	aparato	n. device incl telephone	w
device	aparato	n.	
insulated	izolaĵita	adj. coated with electrical insulation	w

transmitter	sendilo	n.	w
receiver	aŭdilo	n.	w
receiver	aŭskultilo	n.	w

phone	poŝtelefonon	n. cell phone	w
telephone	telefono	n.	
telephone outfit	telefonaparato	n. antiquated telephone equipment set	


television	televidilo	n. individual instrument	w
television	televido	n. communication medium	w
television	televizio	n. communication medium	w
