mood	humoro	n. 	w

# -ĜAJ-
dreary	malgaja	adj.	
sadly	malgaje	adv.	w
carefree	gaja	adj.	w
high spirited	gaja	adj.	
jolly	gaja	adj.	
merry	gaja	adj.	w
festive	gaja	adj.	
gayer	pli gaja	phr.	
gaily	gaje	adv.	w
merrily	gaje	adv.	w
jollity	gajeco	n.	w	
mirth	gajeco	n.	w
jolly	gajega	adj.	
joy	gajo	n. gaiety, cheerfulness	w
cheerful	gajiga	adj. cheerfulness causing	
cheered	gajigis	v.tr made one cheerful	w

# -ĜOJ-
sad	malĝoja	adj.	
dismal	senĝoja	adj. joyless
sadness	malĝojo	n.	w
joy	ĝojo	n. feeling of rejoicing	w
glad	ĝoja	adj.	w
joyously	ĝoje	adv.	w
delight	ĝojo	n.	
delighted	ĝoje	adv.	
happily	ĝoje	adv.	w
looked forward	antaŭĝojis pri	v.	
looked forward to	antaŭĝojitaj	as in anticipated	

# -SENT-
feel	senti	v.tr	
have a sense about	senti	v.	
felt	sentis	v.tr had an impression	
feeling	sento	n.	
sensation	sento	n. feeling	w
sense	sento	n. sensation, or state of consciousness	
suspicion	sento	n.	
sense	sentumo	n. insight, suspicion	
suspicion	sentumo	n.	
insight	sentumo	n.	
sensitive	sentema	adj. 	
sensitivity	sentemo	n. 	w
sensibilities	sentemoj	n.	w
consent	konsento	n. pleasant or unpleasant perceived sensation	
sentimental	sentimentala	adj. 	

# -KOLER-
anger	kolero	n.	w
made him angry	kolerigis lin	*	
glaring	kolerrigardanta	adj.	w

# -TIM-
fear	timo	n. 	w
afraid	tima	adj. 	w
frightened	tima	adj.	w
am afraid	timas	v.
fears	timas	v.tr	
was afraid	timis	v.	
daunt	timigi	v.tr 	w
frightful	timiga	adj. 	w
was not afraid	ne timis	v.ntr	
frightfully	timige	adv. 	w
making him fearful	timigante lin	phr.	
fearsomely	timige	adv.	w
dread	timeginda	adj. worthy of great fear	
apprehension	antaŭtimo	n.	w
frightens	timigas	v.tr	w
lest	pro timo ke	phr. for fear that	
dread	timego	n. 	w

# -TENT-
tempt	tenti	v.tr	w
tempted	tentata	adj. was in a state of temptation	
temptingly	tentante	adv.

# -KONSTERN-
consternation	konsterno	n.	w
disconcerted	konsternita	adj.	
dismayed	konsternita	adj.	
startled	konsternite	adv.
started	konsterniĝe resaltis	phr. recoil from being startled	w
startled	konsternis	v.tr past tense of startle	w

# -MIR-
awe	miro	n.	w
awe	admiro	n. admiration	
awed	admirante	adv.	

# -MALTRANKVIL-
troubled	maltrankvila	adj. anxious	w
disquieting	maltrankviliga	adj. making one worried	
uneasiness	maltrankvilo	n.	
worry	maltrankviligi	v.	
worried	maltrankvila	adj.	w
uneasiness	maltrankvileco	n.	w
anxiety	maltrankvileco	n. mild anxiety, level-1	w

# -TRANKVIL-
calmly	trankvile	adv.	w
don’t worry	restu trankvila	adj.	
calm yourself	trankviliĝu	v.ntr	w
calm	trankvila	adj.	w
relief	ektrankviliĝo	n. experience of being relieved of stress	w

# -ANGOR-
anxiety	angoro	n. severe anxiety, level-3	w
agony	angoro	n.	
anguish	angoro	n.	w

# -TERUR-
horror	teruraĵo	n. object causing horror	w
awful	aĉa	adj. causing fear; appalling; terrible	
horror	teruro	n. great fear	w
awfully	terure	adv.	
horrible	terura	adj. such as to evoke terror or very strong	w
terrible	terura	adj.	w
terrifies	teruras	v.tr
awful	terura	adj. such as to evoke terror or very strong
terror	teruraĵo	n. a thing that inspires terror	w

# -SOPIR-
pine	sopiri	v.tr yearn for 	
yearning	sopiro	n.	
longing	sopiro	n.	w
longing	sopirinta	adj. condition of having longed for
would not pine	ne sopirus	phr. 	
miss	sopiri	v.tr yearn for 

# -ĜU-
enjoy	ĝui	v.tr	
enjoying	ĝuanta	adj.	
enjoyment	ĝuo	n.	

# -ĈAGREN-
sadden	ĉagreni	v.tr	w
annoy	ĉagreni	v.tr	w
exasperate	ĉagreni	v.tr cause displeasure	w
frustrate	ĉagreni	v.tr	.
vex	ĉagreni	v.tr	
ail	ĉagreni	v.tr	w

# -FID-
confident	fida	adj.	w
betray	perfidi	v.tr	w
trust	fidi	v.tr	w
