# INFINITIVE
be	esti	v.ntr	
must be	evidente esti	phr. evidently	w

# PRESENT TENSE, INDICATIVE MOOD
am	estas	v.ntr	
are	estas	v.ntr
I’m	mi estas	phr.	
are	estas	v.ntr	
you’re	vi estas	phr.	
is	estas	v.ntr	
it is	estas	phr.	
it's	ĝi estas	phr.	w
it's	tio estas	phr.	
there’s	estas	phr. there is	
there are	estas	phr.	
he’s	li estas	phr.	
she’s	ŝi estas	phr.	
they’re	ili estas	phr. esti	
it’s	estas	v.ntr	w
it’s	ĝi estas	phr.	
that’s	tio estas	phr.	
it’s all	ĉio estas	phr.	 
that is	tio estas	phr.	
isn’t	ne estas	v.ntr	w

# PAST TENSE, INDICATIVE MOOD
was	estis	v.ntr	
has been	estis	v.ntr	
there was	estis	v.ntr	
it was	estis	v.ntr	
was it	ĉu estis	phr.	
were	estis	v.ntr	
has been	jam estis	phr.	
have been	estis	v.ntr	
had	estis	v.ntr	
had been	estis	v.ntr	
must have been	evidente estis	phr.	
had been	antaŭe estis	phr.	

# FUTURE TENSE, INDICATIVE MOOD
I’ll be	mi estos	phr.	
won’t be	ne estos	phr.	

# OTHER FORMS
go on	estadi	v.ntr	w
have been	estadis	v.ntr	
would be	estus	v.ntr	
would have	estus	v.ntr	
being	estante	adv.	
being	esteco	n.	
creature	estaĵo	n.	

# NOUN
presence	ĉeesto	n. the fact of being present	w
presence	ĉeesteco	n.	w
attendance	ĉeestado	n.	w
present day	la estanteco	n.	
future	estonteco	n.	

#ADJECTIVE
future	estonta	adj.	

be away	foresti	v.ntr	s
been	[forestis]	v.ntr been away	s
were not absent	ne forestis	phr.	s
attend	ĉeesti	v.ntr	w
become	estiĝi	v.ntr	 w
