clean-up	balao	n. a clean-up	
combing out	kombo	n. a combing out	
mopping up	ŝvabro	n. a mopping up	
person’s	onia	adj. relating to some unmentioned person	
raking out	rasto	n. a raking out	
short distance	mallonga distanco	n. a short distance	
abandon	rezigni	v.	
abandon	senbrideco	n. lit. unbridled-ness	
ability	kapablo	n.	w
abjure	rezigni	v.tr definitely leave as unworkable or unattainable	
abnormality	nenormalaĵo	n.	
above the door	super'porde	adv.	
abroad	eksterlande	adv.	w
abruptly	abrupte	adv.	
absence	foresto	n.	
absolutely	tute	adv.	
abstract	resumo	n.	
abstraction	abstrakto	n. not short summary	
absurd	absurda	adj.	w
absurdly	absurde	adv.	w
abuse	insulti	v.	w
abysses	abismoj	n.	
accent	akcento	n. stress on a syllable; musical accent.	
accent	akĉento	n. of a certain dialect region	
accord	akordo	n.	
accordingly	konforme	adv. so that it's similar to a model object	
accurate	ĝusta	adj.	
accurate	preciza	adj.	
accurate	senerara	adj. without errors	
accustomed	kutimi 	b. (+ inf.; al aŭ tr) to be accustomed to	
achieve	atingi	v.tr	
acknowledge	agnoski	v.tr	
acquaintance	konato	n.	
acquire	avigi al si	v.	
act	ago	n. action	
yearning	sopiro	n.	
act in place of	anstataŭi	v.	
act up	petoli	v.	w
action	ago	n.	w
actively	aktive	adv.	w
actual	efektiva	adj. actually existing	
add	aldoni	v.tr	
added	aldonis	v.	
adduce	preteksti	v. as a pretext	
adept	lerta	adj.	
admirable	mojosa	adj.	
admiration	admiro	n.	w
adorable	adorinda	adj.	
advance	antaŭiĝi	v.ntr move forward	
advance	progresi	v.ntr advance through ranks	
advice	konsilo	n.	
advised	konsilis	v.tr	
affair	afero	n.	
affair	okazaĵo	n. event	
affect	afekcii	v.tr create change in, have an emotional impact on	
affect	afekti	v.tr pretend, put on airs	
affect	efektivigi	v.tr to bring about, to effect	
affect	emocio	n. an emotion	
affect	influi	b. affect or influence	
affect	koncerni	v. to concern, relate to, affect	
affect	kortuŝi	v. have an emotional impact on	
affect	rilati (+ al)	v. be connected to, related to, entailed by	
affect	tuŝi	v. have an emotional impact on	
affected	afekta	n.	
affliction	aflikto	n.	
afford	disponigi	v.tr make available	
afterwards	poste	adv.	
again	denove	adv.	
age	aĝo	n. time in existence	
agent	agento	n.	
agent	peranto	n.	
agitate	inciti	v.	
agitation	agitado	n.	
agony	angoro	n.	
agony	dolorego	n.	
agree	konsenti	v.ntr	
agreeable	simpatia	adj. of people	
aim	celi	v.	
aim for	celi	v.	
aimless	sencela	adj.	w
air	aero	n.	w
alarm	alarmo	n.	w
alarmed	alarmite	adv.	
alert	vigla	adj.	w
alive	viva	adj.	w
all	tuta	adj.	
all over	tute tra		
all the blacker	des pli nigra	phr.	
all the more	des pli	phr.	
all these years	ĉiuj ĉi tiuj jaroj	phr.	
all this	ĉio ĉi	v.	
all-embracing	tute ampleksa	phr.	
alley	strateto	n.	w
allow	permesi	v.tr	
allude to	aludi (+ al)	v.	
allurement	allogado	n.	
almost	preskaŭ	adv.	
alone	sola	adj.	w
aloud	laŭte	adv.	
already	jam	adv.	
also	ankaŭ	adv.	
alteration	ŝanĝiĝo	n.	
although	kvankam	conj. shows cause or motive	w
am forgiven	estas pardonita	adj.	
amass	amasigi	v.	w
amaze	mirigi	v.tr	w
amazingly	mirinde	adv.	w
ambition	ambicio	n.	w
ambitious	ambicia	adj.	w
amiss	malbone	adv.	w
ample	ampleksa	adj.	w
amuse	amuzi	v.	w
amusement	amuzo	n. something amusing	w
amusing	amuza	adj.	w
analytical	analiza	adj.	
ancient	antikva	adj.	w
and	kaj	conj.	w
anger	kolero	n.	w
angle	angulo	n.	w
anguish	angoro	n.	w
annoy	ĉagreni	v.	w
annoy	tedi	v.	w
another	alia	adj.	
another	denove	again	
answer	respondi	v.tr	
anticipation	anticipo	n.	w
anxious	anksia	adj.	w
any other	alia	adj.	
anyhow	ĉiaokaze	adv.	
apart	aparta	adj.	
apart	aparte	adv.	
apiece	po	n.	
apiece	poe	adv.	
apologise	pardonpeti	v.tr	w
apology	pardonpeto	n.	
apparatus	aparato	n.	w
apparent	ŝajna	adj. ant=reala	w
apparently	ŝajne	adv.	w
apparently	verŝajne	adv.	w
appear	aspekti	v. how one looks to others	w
appear	ŝajni	v. to seem	w
appearance	aspekto	n.	w
appoint	nomumi	v. to appoint (to a post)	w
appreciate	ŝati	v. to appreciate	
appreciated	ŝatata	adj.	
apprehension	antaŭtimo	n.	w
apprehension	anticipado	n.	
appropriate	alproprigi	v.tr take someone's stuff	w
appropriate	konvena	adj.	w
approval	aprobo	n.	w
apron	antaŭtuko	n.	w
are giving way	cedas	v.tr.ntr	
are practiced	praktikitaj	adj.	
argument	argumento	n. point put forward	w
argument	disputo	n.	w
around	ĉirkaŭ	around something	
arrange	aranĝi	v.tr	
arrange	dispozicii	v.	
array	aranĝo	n. arrangement	
artificial	artefarita	adj.	w
as	kvazaŭ	conj. as if	
as before	kiel antaŭe	adv.	
as follows	jene	adv.	
as if	kvazaŭ	conj.	
as if it were	kvazaŭ	conj.	
as possible	kiel eble	adv.	
as possible	kiel eble plej	phr.	
as possible	laŭeble	adv.	
as though	kvazaŭ	conj.	
as well	ankaŭ	adv.	
ask	demandi	v.tr inquire, ask about something	w
ask	peti	v.tr request, ask (someone) for something	w
ask for contributions	kvesti	v.	
asleep	dormanta	adj.	w
aspect	aspekto	n.	
asphalt	asfalto	n.	
assault	atenci	v.	
assert	aserti	in good faith or in logic	
assess	taksi	v.	
associated with	asociita kun	phr.	
assumed	ŝajniga	adj. feigned	
assumed	supozita	adj. believed as a default, without proof	
assuredly	certe	adv.	
asthma	astmo	n.	
astounding	miriga	adj.	
asylum	azilo	n. for refugees or mental institution	
at first	komence	adv.	w
at heart	je koro	phr.	w
at most	maksimume	adv.	w
at the age of	en la aĝo de	phr.	
at your service	je via servo	phr.	w
atmosphere	atmosfero	n. gaseous envirnment, circumstances, unit of pressure	w
atmosphere	etoso	n. spiritual atmosphere of a place	w
attached	alfiksata	adj.	w
attack	atako	n.	w
attain	trafi	v. to attain a goal	w
attempt	provo	n.	w
attend	ĉeesti	v.	w
attend a party	festeni	v.	
attend orgies	diboĉi	v.	
attend to	zorgi	v.	
attendance	ĉeestado	n.	w
attention	atento	n.	w
attentive	atenta	adj.	w
attentive	atentema	adj.	w
attentive	vigla	adj.	
attitude	sinteno	n.	
attract	altiri	v.tr	w
audible	aŭdebla	adj.	w
audient	aŭdanta	adj. hearing	
auspicious	aŭspicia	adj.	
authority	instanco	n. normally used in the plural	
automatic	aŭtomata	adj.	
avail	utiligi	v.tr avail oneself, take advantage of	
avert	forturni	v.	
avoid	eviti	v.tr	
await	atendi	v.	
away	for	adv.	
awe	admiro	admiration	
awed	admirante	adv.	
awful	aĉa	adj. causing fear; appalling; terrible	
awful	malbonega	adj. very bad	
awfully	terure	adv.	
awkward	plumpa	adj.	
awkwardly	mallerte	adv.	
awning	alero	n. roof overhang	
baby carriage	infanĉareto	n.	
baby-sit	varti	v.	
back	malantaŭa	adj. toward the rear	
back again	returne	adv.	
background	fono	n.	
backwards	malantaŭen	adv.	
bacon	lardo	n.	
bad luck	fatalo	n.	
bad luck	peĉo	n.	
balance	bilanci	v. balance an account	
balance	ekvilibri	v. be in equilibrium	
balance	ekvilibrigi	v.tr bring into balance	
balance	stabiligi	v.tr balance something, stabilize	
ball	bulo	n. blob of stuff	
balustrade	balustrado	n.	w
banal	banala	adj. boringly predictable	w
bang	knali	v.ntr make a bang or snap sound	
banquet	bankedo	n.	
banquet	festeno	n.	
bare-armed	senmanika	adj. sleeveless	
barely	apenaŭ	adv.	
base	fundo	n.	
basement	subetaĝo	n.	
bath	bano	n.	
bathe	bani	v.tr bathe an other	w
bathe	baniĝi	v.ntr bathe oneself	w
battling	batalanta	adj.	
be a replacement for	anstataŭi	v.	
be able to	povi	v.tr be able to do something	
be about	temi pri	v.	
be acquainted with	koni	v.tr	
be alive	vivi	v.	
be aware of	scii	v. know a fact	
be boring	tedi	v. to someone	
bottled up	enboteligota	adj. put in a bottle in the future	
be careful	atenti	v.tr pay attention	
be careful	singardi	v.	
be crazy	frenezi	v.	
be degenerate	diboĉi	v.	
be delirious	deliri	v.	
be dissolute	diboĉi	v.	
be entailed by	rilati	v.	
be entertained	amuziĝi	v.	
be favorable toward	favori	v.	
be filled up	ŝveli	v.	
be findable	trovebli	v.	
be found	troviĝi	v.	
