abandon	senbrideco	lit. unbridled-ness
abjure	rezigni {tr}	definitely leave as unworkable or unattainable
about	pri	talk about something
above	super	above or over something, but not directly on it
above the door	super'porde	
were absent	forestis {ntr}	
absurd	absurda	
accord	akordo	
according to	laŭ	in agreement with, as stated
accordingly	konforme	so that it's similar to a model object
achieve	atingi {tr}	
across	trans	from one side to the other, on the opposite side of
add	aldoni {tr}	
adorable	adorinda	
advance	antaŭiĝi {ntr}	move forward, "progresi" for advancement through ranks
affect	afekcii {tr}	create change in
afraid	tima	
afreet	efrito	a powerful evil jinni, demon, or monstrous giant in Arabic mythology
after	post	after something
afterglow	post'brilo	
afternoon	posttagmezo	
against	kontraŭ	opponent of someone/thing
age	epoko	era or epoch
agent	agento	
agitation	agitado	
ago	antaŭ	at or during a earlier time
agree	konsenti {ntr}	
to aid	helpi	
ailing	malsana	not healthy
ailment	malsaneto	
airbrush	pistolfarbi {tr}	to paint with a sprayer
alarmed	alarmite	
alas	ve	
Alexandria	Aleksandrio	
alive	viva	
all	tuta	
all these years	ĉiuj ĉi tiuj jaroj	
allow	permesi {tr}	
almost	preskaŭ 	
along	laŭ	following lengthwise
aloud	laŭte	
already	jam 	
also	ankaŭ 	
altar	altaro	
although	kvankam	
always	ĉiam 	
am ashamed	hontas {tr}	
am forgiven	estas pardonita	
ambition	ambicio	
ambitious	ambicia	
ambitious	ambicia	
amiss	malbone	
ample	ampleksa	
amusement	amuzaĵo	
amusing	amuza	
analytical	analiza	
ancestor	praulo	
ancient	antikva	
angel	anĝelo	
anybody	iu ajn	
anything	io ajn	
apart	aparte	
apart from	krom	not considering
Apollo	Apolono	
apologise	pardonpeti	
appearance	aspekto	
approval	aprobo	
April	aprilo	
apron	antaŭtuko	
are giving way	cedas	
are practiced	praktikitaj	
around	ĉirkaŭ	around something
arrange	aranĝi {tr}	
as far as	ĝis	destination
as follows	jene 	
as well	ankaŭ	
asleep	dormanta	
ass	azeno	donkey
associated with	asociita kun	
at	ĉe	exact position (next to, in front of)
at	je	a particular time
at noon	tagmeze	
at your service	je via servo	
atmosphere	atmosfero	
attack	atako	
attendance	ĉeestado	
attention	atento	
attentive	atenta	
attentive	atentema	
August	aŭgusto	
auspicious	aŭspicia	
back	dorso	anatomical
balustrade	balustrado	
bank	bordo	as in river-banks
bath	bano	
bathe	bani {tr}	or baniĝi to bathe oneself
beaver	kastoro	
because of	pro	because of someone/thing
become	iĝi {ntr}	
becoming extinct	formortas	
beef	bovaĵo	
before	antaŭ	at or during a earlier time
beg	petegi {tr}	beg someone or something
beginning	komenco	
behind	malantaŭe 	
behind	malantaŭ	at the far side of something (hidden)
being	estante	
believe	kredi {tr}	
bell	sonorilo	
belongs	aparteni {ntr}	
below	sub	under something
beneath	sub	under something
benighted	nokte kaptita	
berry	bero	
beside	apud	next to (without touching)
beside	apud	
betray	perfidi {tr}	
between	inter	there is something on either side
between	inter	interaction between two people
bewilderment	konfuzo	
bewitched	sorĉita	
big-boned	grand’osta	
biggest	plej granda	
bigwig	grandulo	
bind	ligi {tr}	
would bind	ligus {tr}	
bitter	amara	literal or figurative
bitterly	amare	
black	nigra	
blackened	nigrita	
blinded you	blindigis vin	
blinds	blindigas {tr}	
bloom	floro	
to bloom	flori	
blue	blua	
boar	apro	
Boar's Head	Kapo de Apro	
board	festen’tablo	def. long, narrow table, as used in a medieval dining hall
Bodleian	de Bodlejo	
to be born	naskiĝi {ntr}	
bough	branĉo	
bride	novedzino	
brief	mallonga	
bring	alporti {tr}	
bring in 	enporti	
british	brita	
brown	bruna	
brusquely	bruske	
bunch	fasko	
burial	entombigo	
burn	bruli {ntr}	bruiligi: burn something else
bury	enterigi {tr}	
but for	krom	not considering
