Secretary	Ministro	n. UK public official	
king	reĝo	n.	w
highness	moŝto	n. title for royalty	
grace	moŝto	n. title for royalty	
majesty	moŝto	n. title for royalty	w
realm	regno	n.	

nobly	noble	adv.	w
nobler	pli nobla	phr.	
lord	lordo	n. British nobility	

special delegate	komisiito	n.	

govern	direkti	v.	
government	registaro	n.	w
vote	baloti	v.	w
vote	voĉdoni	v.	w

political	politika	adj.	w
politics	politiko	n.	w

guard	gvardiano	n. a single guardsman	
guard	gvardio	n. eg 'Swiss Guard' or 'Red Guard'	

cabinet	kabineto	n. in a government	

Nazi	nazio	n. member of the German NatSoc party or regime	w

battling	batalanta	adj.	

guerilla	gerilano gerilisto	n.	w
guerilla war	gerilo	n.	w

invade	invadi	v.tr	

formation	formacio	n. military formation	
filed	marŝis kolumne	v. marched in a single file	

general	generalo	n. MILITARY rank	w

peace	paco	n.	w

city	urbo	n.	w
civilisation	civilizo	n. the act of making one civilized	w
civilisation	civilizacio	n. society	w

crowd	amaso	n.	
crowd	homamaso	n.	
crowded	homamasa	adj. consider homplena as preferable	
mob	amaso	n.	w
throng	amaso	n.	w
in throngs	amase	adv.	
flock	amasiĝi	v.ntr to pile up or become a crowd	

barbarian	barbaro	n. GOVT	w
rule	regi	v.tr.ntr GOVT	w

flag	flago	n.	

suburban	suburba	adj.	w

patriot	patrioto	n. CIVIC	w

conqueror	konkeranto	n. conquering at present WAR	w
conqueror	konkerinto	n. conquered in the past WAR	w
conquer	konkeri	v.tr obtain by WAR rule by force	w
battering-ram	batila ramo	n. WAR	w
village	vilaĝo	n. GOVT	w
