doctor	kuracisto	n. physician	w
heal	kuraci	v.tr	
healthy	sana	adj.	
physician	kuracisto	n.	w
specialist	specialisto	n.	w
treat	kuraci	v.tr an illness or wound	w
treatment	kuracado	n.	w
cure	kuraco	n. something that cures health	w
nurse	flegistino	n.	
cramp	kramfo	medical condition	
medical	medicina	adj.	w
medicine	medicino	the theory or practice of medicine	
medicine	medikamento	as something to be taken	
herb	drogherbo	n. medicinal	
examination	ekzameno	n. detailed exam incl medical exam	
case	kazo	eg law medicine grammar	
sanatorium	sanatorio	n. residential rehab, ≠hospitalo	
sickened	malsanigita	adj.	w
sickly	malsanema	adj.	w
malady	malsano	n.	
be cured	por esti resanigita	phr. lit. for the purpose of being restored to health	
well	sana	healthy	
would make ill	malsanigus	v.tr	
ill	malsana	adj. not healthy	w
recovery	resaniĝo	v. recovery of health
sick	malsana	adj.	w
ailing	malsana	adj. not healthy	
ailment	malsaneto	n.	
hurt	dolori	v.tr	
hurt	vundi	v.tr wound	
injure	vundi	v.tr	
injured	vundita	adj.	
wound	vundi	v.tr	w
nerves	nervoj	n. figurative nervous status	w
dress	pansi	v.tr to dress a wound	
fever	febro	n.	w
gauze	gazo	n.	
getting ill	malsaniĝi	v.ntr	
aches	doloras	v.tr normally followed by 'sin'	w

crazy	freneza	adj.	
raving mad	frenezi	v.	

pain	doloro	n.	
scab	krusto	n.	
scar	stigmato	n.	
gout	podagro	n.	
