# -LAŬT-
loud	laŭta	adj.	
loudest	plej laŭta	adj. 	w
loudly	laŭte	adv.	
aloud	laŭte	adv.	
volume	laŭteco	n. loudness of sound	w
softly	mallaŭte	adv.	w
rose	plilaŭtiĝis	v.ntr increased in sound volume 
low	mallaŭta	adj. not loud	w
lowering	mallaŭtigante	adv. making quieter 

# -AŬD-
hear	aŭdi	v.tr	
heard	aŭdis	v.tr	
hears	aŭdas	v.tr	
heard	aŭdata	adj.	
heard	aŭdiĝas	v.ntr is heard
unheard-of	neaŭdita	adj.	w
audible	aŭdebla	adj.	w
audient	aŭdanta	adj. hearing	

# -AŬS-
hark	aŭskultu	v.	w
listen	aŭskulti	v.tr	
listening	aŭskultante	adv.	
would listen	aŭskultus	v.	
auditor	aŭskultanto	n. listener	w
hush	silentu	v.	w

# -BRU-
drown	superbrui	v.ntr drown out and overpower noise	
noise	bruego	n. 	
noise	bruo	n. 	w
noiseless	senbrua 	adj.	w

silence	silento	n.	w
silent	silenta	adj. 	
hum	zumi	v.tr human produced sound	w
soft	milda	adj. as a soft sound	
sound	soni	v.ntr	w
roar	muĝi	v.ntr 	w
softer	pli milda	adj. 
muffled	dampita	adj. SOUND	w
clicking	klakado	n. 	w

rustle	susuro	n.	w
clatter	kraki	v.ntr	w
crack	kraki	v.ntr 	w
crackle	kraketi	v. 	w
crisp	krakmaĉa	adj.	w
crunchy	krakmaĉa	adj.	w
crunch	kraki	v.ntr	w
knocking	frapado	n. 	w
soundless	sensona	adj. 	w
rattle	kraktinti	v.ntr make a sound like a chain 	w
tinkling	tintado	v.ntr a tinkling sound 	w
tinkling	tintetanta	adj. tinking, like windchimes 	w
bang	knali	v.ntr make a bang or snap sound	
crash	kraŝa sono	n. crashing sound	w
