chill	malvarm'tremo	n. sensation of a chill accompanied by trembling	
chill	malvarmeto	n.	
cold	malvarma	adj.	
cold	frida	adj.	w
colder	pli malvarma	adj.	
cool	malvarma	adj. not hot	
cool	mojosa	adj. fashionable	
cooling	malvarmiĝanta	adj.	
coolly	malvarme	adv. 
warmth	varmeco	n.	w
hot	varma	adj.	
heat	varmeco	n. warmth	
warm	varma	adj.

fire	fajro	n.	
campfire	tendarfajro	n.	
camp fire	tendarfajro	n.	
sparks	fajreroj	n.	

brazier	braĝujo	n.	w
burning	brulanta	adj.	w
burn	bruli	v.ntr 
burn	bruligi	v.tr 
light	ekbruligi	v.tr start a fire	
burned	bruligita	adj.
seared	bruligita	adj.	w

inflame	flamigi	v.tr raise flames in a burning thing, or excite strongly	
flame	flamo	n.	w
blazing	flamanta	adj.	w
