alas	ve	interj.	w
oh	ho	interj.	w
well	nu	interj.	w
ye heavens above	ho, la ĉieloj	phr. lit. 'oh, Heavens'	
ah	ha	interj.	w
O	ho	interj.	w
er	nu	interj. hesitation in speech	w
pshaw	dirlididi	interj. used to show that one considers the matter just mentioned trivial	w
nonsense	dirlididi	interj. used to show that one considers the matter just mentioned trivial	w
pfft	dirlididi	interj. used to show that one considers the matter just mentioned trivial	w
humbug	dirlididi	interj. used to show that one considers the matter just mentioned trivial	w
bah	ba	interj. used to express a somewhat disdainful carelessness	w
yikes	hu	interj. used to express fear	w

fie	fi	interj.	w

eh	ĉu	interj. requests repetition or clarification	w
tush	ba	interj. dismissive interjection	w
shit	fek	interj.	w
fuck	fik	interj.	

hallelujah	haleluja	interj.	w

chit!	ĉit!	interj. Shh. Be quiet.	
