caprice	kapriĉo	n. in music	
music	muziko	n.	w
minstrelsye	menestrelaĵo	n archaic music of minstrels	w
pitch	piĉo	n. musical	
pitch	pitĉo	n. musical note	
organ	orgeno	n. musical instrument	
piping	flutado	n.  piping, the music of a pipe	w
fanfare	fanfaro	n. musical	w
instruments	instrumentoj	n. musical scientific artistic	
melody	melodio	n. musical
pipe	fluto	n. musical
drums	tamburoj	n.	
tambourine	tamburino	n.	w
flute	fluto	n.	w
Eolian harp	eola harpo	n. 
tune	melodio	n. 
sang	kantis	v.tr.ntr
tenor	tenora	adj. 	w
chorus	ĥoro	n.	
chant	ĉanti	v.tr	w

padded hammer	kusenetita martelo	n. piano hammer	
