# CHRISTIAN
Jesus	Jesuo	n.	w
Madonna	Madono	b.proper relgiious	w
Abaddon	Abadono	n.proper angel of the pit	w

# EGYPTIAN MYTHIC
Ammon	Amono	n.proper Egyptian God	

# GREEK & ROMAN MYTHIC
Jove	Jovo	n.proper Jupiter	w
Apollo	Apolono	n.proper	w
Eros	Eroso	n.proper Cupid	w
Hesperides	Hesperidoj	n.	w
saturnalia	saturnalio	n.	w
Zeus	Zeŭso	n.proper	w
Athena	Atena	n.proper Greek goddess 	w
Theseus	Tezeo	n.proper	w
Ariadne	Ariadno	n.proper	w
Phaedra	Fedra	n.proper	w
Minos	Minoo	n.proper	w
Pasiphae	Pazifao	n.proper	w
Minotaur	Minotaŭro	n.proper	w
Dionysus	Dionizo	n.proper	w
Hippolyta	Hipolito	n.proper	w
Pan	Pajno	n.proper goat-god	
Selene	Seleno	n.proper Greek goddess of the Moon	w

Euclid	Eŭklido	n.proper	 w

# SHIP
Titanic	Titaniko	n.proper ship	

# LOVECRAFT CHARACTERS
Nyarlathotep	Njarlatotepo	n.proper Lovecraft monster	

# BLACKWOOD CHARACTERS
Issidy	Izidio	n.proper woman's first name	
