# -FARB-
paint	farbi	v.tr to apply paint, non-artistically	
paint	farbo	n. liquid paint medium	
painter	farbisto	n. non-atristic painter	
airbrush	pistolfarbi	v.tr to paint with a sprayer	
spraypaint	pistolfarbi	v.tr to paint with a sprayer	w
watercolor	akvofarbo	n.	

# -PENTR-
painting	pentraĵo	n. an artistic scene that is painted	w
oil painting	oleopentraĵo	n.	
paint	pentri	v.tr to paint as an artist	
paint	pripentri	v. to decorate with paint	
painter	pentristo	n. an artist who paints	
painterly	pentra	adj.	
painting	pentrado	n. the activity or manner of artistic painting	
painting	pentrarto	n. a physical artistic painting, the art itself of painting	
paints	pentras	v.tr	
seascape	marpentraĵo	n.	w
paint	pentri	v.tr	w
repaint	repentri	v.tr to repaint in an atristic way	
mural	murpentraĵa	adj. ART	w
painted	pentrita	adj. ART	w

palette	paletro	n.	
easel	stablo	n.	w
masterpiece	ĉefverko	n.	
crayon	paŝtelo	n.	w
illustration	ilustraĵo	n.	w
contrast	kontrasto	n. ART	
contrast	kontrasti	v.tr.ntr stand out in relief from another ART	
graffiti	grafitio	n. ART	w
gallery	galerio	n. ART	w
impressionism	impresionismo	n. ART	w
pictorial	piktura	adj. ART	w
curvilinear	kurbe-linia	adj. ART	w
draw	desegni	v.tr ART	w
picture	bildo	n. ART	
representation	prezento	n. an image of ART	
represented	montra	adj. portrayed in a drawing	
lacquer	laki	v.tr apply lacquer ie varnish ART	w
lacquer	lako	n ie varnish ART	w
varnish	vernisi	v.tr apply varnish ie lacquer ART	w
varnish	verniso	n. ie lacquer ART	w
outline	konturo	n. ART	w
image	prezento	n. ART	
carven	ĉizita	adj. ART	w
carving	ĉizaĵo	n. ART	w
smear	ŝmiraĵo	n. esp lipstick ART	w
sculpture	skulptaĵo	n. ART	w
fresco	fresko	n. ART	w
art	arto	n. ART	w
bas-relief	bareliefo	n. ART	w
frescoed	freskita	adj. ART	w
artistic	arta	adj. ART	w
artist	artisto	n. ART	w
realistic	vivovera	adj. true to life ART	w
picturesqueness	pitoreskeco	v.	w
