John	Johano	n.proper name	
Thos.	Tomaso	n.proper name	
Smith	Smito	n.proper family name	
Phillip	Filipo	n.proper name	
Browne	Braŭno	n.proper family name	
Marco	Marko	n.proper personal name	
Miller	Milero	n.proper name	
Cosimo	Kosimo	n.proper personal-name	
Ogilvie	Ogilvio	n.proper family name	
George	Georgo	n.proper personal name	
Mary	Marjo	n.proper personal name	
Ann	Anno	n.proper NAME	
Plutarch	Plutarko	n.proper	
Sextus	Seksto	n.proper	
James	Jakobo	n.proper	
Jane	Johanino	n.proper	
Randolph	Randolfo	n.proper	
Carter	Kartero	n.proper	
Warren	Vareno	n.proper personal name	
Harley	Harlejo	n.proper personal name	
Milly	Miljo	n.proper personal name	
Milly	Miljo	n.proper	
Bill	Biljo	n.proper	
Jean	Ĵino	n.proper	
Palmer	Palmero	n.proper	
Jinny	Ĵenjo	n.proper	
Everard	Everardo	n. proper	
Minturn	Minturno	n. proper	

# SPECIFIC
Whittier	Vitiero	n.proper	
Wynkin de Worde	Vinko Devordo	n.proper	
Bodleian	de Bodlejo	n.	
Lattin	Latino	n.proper name	
Apuleius	Apulejo	n.proper	

Lydia	Lidio	n.proper personal name	w
Lysander	Lisandro	n.proper personal name	w
Alexander	Aleksandro	n.proper personal name	w
Phocion	Focio	n.proper personal name	

Mudbury	Kotburio	n.proper family name	

di Medici	de Mediĉoj	n.proper	
Damiano	Damiano	n.proper	
Paulo	Paŭlo	n.proper	
Statira	Statiro	n.proper wife of Alexander the Great	
Lucia	Lucino	n.proper some gender ambiguity, careful	

Salviati	Salviato	n.proper	

Little Child	Infaneto	n. pet-name used in Karma	
Collona	Kolono	n.proper Italian Renaissance family name	
