## FROM WIKTIONARY
## https://en.wiktionary.org/wiki/Appendix:Esperanto_forms_of_English_given_names

## English Masculine Names
Aaron	Aarono
Adam	Adamo
Alan	Alano
Albert	Alberto
Alexander	Aleksandro
Andrew	Andreo, Andruo
Anthony	Antonio
Arthur	Arturo
Austin	Aŭsteno
Benjamin	Benjameno
Billy	Vilĉjo, Bilio, Biljo
Bobby	Roĉjo, Bobio, Bobjo
Brandon	Brandono, Brendano
Brian	Briano
Bruce	Bruco, Lebrikso
Bryan	Briano
Carl	Karlo
Charles	Karolo
Christian	Kristano, Kristiano
Christopher	Kristoforo
Daniel	Danielo
David	Davido
Dennis	Dionizio, Denizo
Donald	Donaldo, Donivaldo, Dubnovaldo
Douglas	Duglaso
Dylan	Dilano
Edward	Edvardo, Eduardo
Eric	Eriko
Ethan	Etano, Ejtano
Eugene	Eŭgeno, Eŭgenio
Frank	Franĉjo, Francisko
Gabriel	Gabrielo
Gary	Gario
George	Georgo
Gerald	Ĝeraldo, Gerardo
Gregory	Gregorio
Harold	Haroldo, Haraldo
Harry	Hario, Henriko, Heĉjo
Henry	Henriko
Jack	Johano, Joĉjo, Jakobo
Jacob	Jakobo
James	Jakobo
Jason	Jazono
Jeffrey	Gofrido, Godfrido, Ĝefrio, Ĵefrio
Jeremy	Jeremio
Jerry	Jerĉjo, Gerardo, Jeremio, Ĵerjo, Jerjo
Jesse	Jiŝajo, Ĝesio
Joe	Joĉjo, Jozefo
John	Johano
Johnny	Joĉjo, Johanĉjo, Johano
Jonathan	Jonatano
Jordan	Jordano
Jose	Jozeĉjo, Jozefo, Ĥoseo, Jozejo
Joseph	Jozefo
Joshua	Josuo
Juan	Johano, Ĥuano
Justin	Justeno
Keith	Kejto, Kejfo, Gajfo
Kenneth	Keneto, Koinaĥo
Kevin	Kevino, Koemgeno
Kyle	Kilo, Kajlo, Kaolo
Larry	Laŭrenco, Laŭreĉjo
Lawrence	Laŭrenco
Logan	Logano, Lagano
Louis	Ludoviko, Luizo
Mark	Marko
Matthew	Mateo
Michael	Miĥaelo, Mikaelo
Nathan	Natano
Nicholas	Nikolao
Noah	Noao, Noaĥo, Noaho
Patrick	Patriko, Patricio
Paul	Paŭlo
Peter	Petro
Philip	Filipo
Ralph	Radulfo, Rudolfo, Ralfo, Raĉjo
Randy	Ranĉjo, Randalo, Randolfo, Bertrando, Andreo
Raymond	Rajmundo
Richard	Rikardo
Robert	Roberto
Roger	Roĝero
Ronald	Ronaldo
Roy	Rojo, Reĝo
Russell	Ruselo
Ryan	Riano
Samuel	Samuelo
Scott	Skoto
Sean	Johano, Ŝaŭno
Stephen	Stefano
Steven	Stefano
Terry	Teodoriko, Terenco, Terĉjo, Terjo
Thomas	Tomaso
Timothy	Timoteo
Tyler	Tilro, Tajlero, Tieŭliero
Vincent	Vincento
Walter	Valtero, Gualterio, Ualterio
Wayne	Vajno, Veno, Uano
William	Vilhelmo
Willie	Vilĉjo, Viljo
Zachary	Zeĥarjo, Zaĥario, Zakario 

## English Feminine Names

Abigail	Abigailo, Abigajlo
Alexis	Alenjo, Aleksandr(in)o, Alekso, Aleksiso
Alice	Alicio, Alico
Amanda	Amindo, Amando
Amber	Ambro
Amy	Amelio, Amjo
Andrea	Andre(in)o, Andrenjo
Angela	Anĝel(in)o
Ann	Anno, Ano
Anna	Anno, Ano
Ashley	Aŝle(j)o, Aŝlio
Barbara	Barbaro
Betty	Elizabeto, Elinjo, Betjo
Beverly	Beverlio, Beverle(j)o
Brenda	Brendino, Brendo
Brittany	Bretonio, Britanio
Carol	Karol(in)o
Carolyn	Karolino
Catherine	Katerino
Cheryl	Kar(ul)ino, Ĉerilo, Ŝerilo
Christina	Kristino, Kristanjo, Kristianjo
Christine	Kristino, Kristanjo, Kristianjo
Cynthia	Cintio
Danielle	Daniel(in)o
Deborah	Deboro
Debra	Deboro, Debonjo
Denise	Dionizinjo, Deniz(in)o
Diana	Diano
Diane	Diano
Donna	Don(n)o, Damo
Doris	Dorio, Dorizo
Dorothy	Doroteo
Elizabeth	Elizabeto
Emily	Emilio, Amilio
Emma	Em(m)o, Emelino, Amelio, Emilio
Evelyn	Evelino, Avelino
Frances	Francesk(in)o, Franjo
Gloria	Glorio, Gloro
Grace	Graco, Difavoro
Hannah	Ĥano, Ĥanao
Heather	Hetro, Hatro, Erik(in)o
Helen	Heleno
Jacqueline	Jakobino
Jane	Johanino
Janet	Jonjeto
Janice	Johanino, Jonjo, Ĝanico, Ĵanico
Jean	Johanino, Ĵino, Ĝino
Jennifer	Ginevro, Ĵenifro
Jessica	Jisko, Jesiko
Joan	Johanino, Jonjo
Joyce	Ĝojo, Ĵoyco
Judith	Judito
Judy	Judinjo, Judito, Junjo
Julia	Juli(in)o, Julinjo
Julie	Juli(in)o, Julinjo
Karen	Katerino, Karino, Kareno
Katherine	Katerino
Kathleen	Katerino, Katelino
Kathryn	Katerino
Kayla	Miĥaelino, Mikaelino, Kaelino, Kajlo
Kelly	Kelio
Kimberly	Kimberlio, Kimberle(j)o
Laura	Laŭro
Lauren	Laŭr(in)o
Linda	Lindo, Tilio, Siglindo, Ditlindo
Lisa	Elizabeto, Elinjo, Lizo
Lori	Laŭro, Loro
Madison	Matesono, Madisono
Margaret	Margarito, Margareto
Maria	Mario, Marinjo
Marie	Mario, Marinjo
Marilyn	Marilino
Martha	Marto, Martino
Mary	Mario, Marinjo
Megan	Margarito, Margareto, Megjo, Menjo
Melissa	Melizo, Mielo, Abelo
Michelle	Miĥaelino, Mikaelino, Miĉelo, Miŝelo
Nancy	Anjo, Nanco, Nancio
Natalie	Natalio, Kristnask(in)o
Nicole	Nikola(in)o, Nikolanjo
Olivia	Olivio, Oliv(in)o
Pamela	Pamelo
Patricia	Patricio, Patricinjo
Rachel	Raĥelo, Rakelo
Rebecca	Rebeko
Rose	Rozo
Ruth	Ruto
Samantha	Samanto, Samuelino
Sandra	Alenjo, Aleksandr(in)o, Sandr(in)o
Sara	Sarao, Saro
Sarah	Sarao, Saro
Sharon	Ŝarono
Shirley	Ŝirlio, Ŝirle(j)o
Stephanie	Stefanino
Susan	Susano
Teresa	Tereso
Theresa	Tereso
Tiffany	Teofanio, Tifanio, Epifanio
Victoria	Viktorino
Virginia	Virginio, Virgulino 

## English Unisex Nicknames

Alec, Alex	Aleksjo, Alekjo, Alejo
Ash	Aŝjo
Billy	Viljo, Beljo
Cass	Kasjo
Charley	Karjo
Sid	Sidjo, Cidjo
Dan, Danny	Danjo
Jo	Jojo
Joss	Jozjo
Ken	Kenjo, Makjo
Lex	Alejo, Leksjo
Liv	Olivjo, Livjo
Mac	Makjo
Max	Maksjo
Mel	Meljo
Oli	Olijo
Rey, Ray	Rajo
Rob	Robjo
Sam	Samjo
Sandy	Sandro, Sandjo
Stef	Stefjo
Theo	Tejo
Vic	Vikjo

## Common Surnames in the United States

JOHNSON	JOHANSON, JOHANIDO
WILLIAMS	VILIAMSO, VILHELMSO, VILHELMIDO
JONES	JONESO
BROWN	BRAŬNO, BRUNO
DAVIS	DAVIZO
MILLER	MILERO, MUELISTO
WILSON	VILSONO, VILIDO
MOORE	MORO
TAYLOR	TAJLORO
ANDERSON	ANDERSONO, ANDERIDO
THOMAS	TOMASO, TOMASIDO
JACKSON	JAKSONO, JOĈJIDO
WHITE	VAJTO, VITO, BLANKO
HARRIS	HARRISO
MARTIN	MARTENO, MARTINO
THOMPSON	TOMPSONO, TOMPIDO
GARCIA	GARCIO
MARTINEZ	MARTINEZO
ROBINSON	ROBINSONO, ROBINIDO
CLARK	KLARKO
RODRIGUEZ	RODRIGUEZO
