'=====PREPOSITIONS OF TIME	'=====
before	antaŭ	prep. at or during a earlier time	
ago	antaŭ	prep. at or during a earlier time	
after	post	prep. after something	
for	de	prep. for a period of time	
for	dum	prep. spanning an entire duration of time	
during	en	prep. at some time within a specific time frame	
in	en	prep. at some time within a specific time frame	
since	ekde	prep. from a specific point in time until now	
until	ĝis	prep. up to/by a specific time	
by	ĝis	prep. up to/by a specific time	
at	je	prep. a particular time	
'=====PREPOSITIONS OF PLACE	'=====
to	al	prep. to a place, to a person	
in front of	antaŭ	prep. in front/before
beside	apud	prep. next to (without touching)
next to	apud	prep. next to (without touching)
at	ĉe	prep. exact position (next to, in front of)
by	ĉe	prep. exact position (next to, in front of)
around	ĉirkaŭ	prep. around something	
by	de	prep. from a place or by somebody	
from	de	prep. from a place or by somebody	
outside of	ekster	prep. beyond a closed area	
out of	ekster	prep. beyond a closed area	
from	el	prep. from where	
in	en	prep. in a place, book, car, picture, world	
until	ĝis	prep. destination	
up to	ĝis	prep. destination	
as far as	ĝis	prep. destination	
between	inter	prep. there is something on either side	
opposite	kontraŭ	prep. facing, on the other side	
along	laŭ	prep. following lengthwise	
behind	malantaŭ	prep. at the far side of something (hidden)	
past	preter	prep. pass something/someone (go/drive/fly …)	
below	sub	prep. under something	
beneath	sub	prep. under something	
under	sub	prep. under something	
above	super	prep. above or over something, but not directly on it
over	super	prep. above or over something, but not directly on it
on	sur	prep. fixed to something, above something (in contact), on one side or the other	
through	tra	prep. limited from above, below and on the sides, from one side to the other	
across	trans	prep. from one side to the other, on the opposite side of
on the other side of	trans	prep. from one side to the other, on the opposite side of
over	trans	prep. from one side to the other, on the opposite side of
'=====OTHER PREPOSITIONS	'=====
instead of	anstataŭ	prep. replace something with something else	
of	da	prep. how much of something	
by	de	prep. expresses possession	
from	de	prep. expresses possession	
between	inter	prep. interaction between two people	
against	kontraŭ	prep. opponent of someone/thing	
apart from	krom	prep. not considering	
except for	krom	prep. not considering	
with	kun	prep. together with someone/thing	
according to	laŭ	prep. in agreement with, as stated	
despite	malgraŭ	prep. nevertheless, notwithstanding	
in spite of	malgraŭ	prep. nevertheless, notwithstanding	
with	per	prep. with the use of something	
by means of	per	prep. with the use of something	
through	per	prep. with the use of something	
each	po	prep. for a divided amount, followed by the nominative	
for	por	prep. outcome of an action	
about	pri	prep. talk about something	
concerning	pri	prep. talk about something	
because of	pro	prep. because of someone/thing	
without	sen	prep. without someone/thing
