radius	radiuso	n. SHAPE	w
spheres	sferoj	n. incl the celestial spheres	w

line	linio	n.	

angle	angulo	n.	w
corner	angulo	n.	w
triangular	triangula	adj.	w

amorphous	senforma	adj. lacking shape	w
amorphous	senforma	adj. non-crytalline	w
shapeless	senforma	adj.	w


blocks	blokoj	n. block shaped chunks of material	

length	longo	n.	w
by inches	je coloj	phr.	w
inch	colo	n.	w
foot	futo	n. distance measure	
feet	futoj	n. distance measure	w
miles	mejlo	n. distance measure	

globe	globo	n.	
vortex	vortico	n.	

# -PROKSIM-
near	proksima	adj.	
close	proksime	adv. closely	
roughly	proksimume	adv.	w
nearer	pli proksimen	phr.	
closer	pli proksime	adv.	
nearest	plej proksime	adv.	
closest	plej proksima	phr.	
approximate	proksimumi	v.	w
approach	alproksimiĝi	v.	w
drew nigh	alproksimiĝis	v.ntr approached	
draws near	alproksimiĝas	v.ntr	w
far	malproksime	adv.	
in distance	malproksime	adv. far away	w
far away	malproksime	adv.	w
far end	malproksima fino	phr.	

short distance	mallonga distanco	n. a short distance	

innermost	plej interna	adj.	w

innermost part	fundo	n.	
inner	profunda	adj.	w
base	fundo	n.	
bottom	fundo	n.	
deep	profunde	adv. deeply	
deepen	profundigi	v.tr	
deepest	plej profunda	adj.	
deeply	profunde	adv.	
depth	profundo	n. the deep part or the depth of a place	w
center	centro	n.	w

# -DEKSTR-
right	dekstra	adj.	
right	dekstre	adv.	
to the right	dekstren	adv.	w
left	maldekstra	adj.	w
left	maldekstre	adv.	
to the left	maldekstren	adv. as a destination	

horizontal	horizontala	adj. SHAPE	w
inside	interne	adv. SHAPE	
tall	alta	adj. SHAPE	w
contour	konturo	n. SHAPE	w
proportion	proporcio	n. SHAPE	w
dimension	dimensio	n. SHAPE	w
broad	larĝa	adj. SHAPE	w
colossal	kolosa	adj. SHAPE	w
region	regiono	n. SHAPE	w
shape	formo	n. SHAPE	w
upper	supra	adj. SHAPE	w
oblong	oblonga	adj. SHAPE	w
oblong	longforma	adj. SHAPE	w
league	leŭgo	n. about 4 km SHAPE	w
ahead	antaŭe	adv. SHAPE	w
measurement	mezuro	n. act of measuring SHAPE	w
