taxi	taksii	v.	
taxi	taksio	n.	
chauffeur	konduki aŭtomobile	v.tr take someone somewhere by car	
chauffeur	ŝofori	v. take soemone somewhere by car	
chauffeur	ŝoforo	n.	
chauffeur	veturigi	v.tr take someone somewhere by car	
take a drive	veturigi	v.tr take someone somewhere by vehicle	
take a bus	trafi buson	phr.	s
bus	buso	n.	
conductor	konduktoro	n. on a train or bus	
street	strato	n.	w
corner	stratangulo	n. street corner	w

traffic	trafiko	n.	w
taxicab	taksio	n.	w

drive	ŝofori	v.	
drive	veturigi	v.tr a vehicle	
gasoline	benzino	n. car fuel	w
tramway	tramvojo	n.	w
travel	veturi	v. to travel esp by vehicle	w

wagoner	ĉaristo	n.	
voyage	vojaĝo	n. 	w
causeway	digvojo	n. 	w
subway	metroa	adj.	w


lane	vojeto	n. small country road	
road	vojo	n.	
path	vojeto	n.	w
journey	vojaĝo	n.	w
pike	vojo	n. road	
on the way back	survoje reen	phr.	
way	vojo	n. path	w
