# -VER-
truth	vero	n.	w
true	vera	adj.	w
actual	vera	adj. true	w
genuine	vera	adj.	w
genuinely	vere	adv. truthfully, in a real way, admittedly	w
truly	vere	adv.	w
really	vere	adv. true, not false	w
indeed	vere	adv. truly	w
truthfully	vere	adv.	W
in truth	vere	adv.	w
in sooth	vere ja	phr. truthfully	w
very	vera	adj. figurative 'true'	w
it is true	estas vere	phr.	

# -EVENTUAL-
possible	eventuala	adj.	
probably	eventuale	adv. more in the sense of possibly	
in case of need	eventuala	adj.	

# -REAL-
real	reala	ant. imagata & ŝajna	w
unreal	nereala	adj.	w
reality	realo	n.	w

# - EFECTIV-
actual	efektiva	adj. actually existing	w
affect	efektivigi	v.tr to bring about, to effect	w
bring about	efektivigi	v.	w
genuinely	efektive	adv. really, actually, indeed	w
existing	efektiva	adv. actually existing	w
really	efektive	adv. real, not imagined	w
effect	efektivigi	v.tr bring about	w
actually	efektive	adv.	w

# -IMAG-
imaginative	imagema	adj. 	w
imagined	imagata	ant. reala	w
inconceivable	neimagebla	adj. unimaginable	w
may be imagined	eble estus imagata	phr.	
unimaginable	neimagebla	adj.	w
fancy	imago	n. imagination	w

# -SAĴN-
appear	ŝajni	v. to seem	w
apparent	ŝajna	adj. ant=reala	w
apparently	ŝajne	adv. seemingly	w
what seemed	ŝajne	adv.	
struck him	ŝajnis al li	phr. seemed to him	
it seemed	tiel ŝajnis	phr.	

# -VERSAĴN-
probable	verŝajna	adj.	w
apparently	verŝajne	adv. In all probability	w
probably	verŝajne	adv. In all probability vs eventuale which is more 'possibly'	w
seemingly	verŝajne	adv. In all probability	w
unlikely	neverŝajna	adj.	w

# -SAĴNIG-
make it seem as though	ŝajnigi	v.tr	
pretend	ŝajnigi	v.tr	w
pretence	ŝajnigo	n. act of one who pretends	w
assumed	ŝajniga	adj. feigned	w
pretending	ŝajnigante	adv.	

