half-seen	duone-vidita	adj.	w
have seen	vidis	v.tr	
see	vidi	v.tr	
saw	vidis	v.tr	
prevision	antaŭvido	n.	w
sightless	senvida	adj.	
sights	vidaĵoj	n. things looked onto	
visible	videbla	adj.	
you see	vi vidu	phr. leads and explanation	w
you see	vidu	v.	w
seen	vidiĝi	v.ntr	
squinted	strabigis	v. 
see again	revidi	v.tr 
having glimpsed	ekvidinte	adv. 
glimpse	ekvido	n. 	w
invisible	nevidebla	adj. 	
unseen	nevidita	adj.	w

blind	blinda	adj. unable to see	
blinded you	blindigis vin	phr.	
blindly	blinde	adv.	
blinds	blindigas	v.tr
dazzling	blindiga	adj. 	w

# -RIGARD-
watching	rigardi	v.tr	
gaze	rigardi	v.tr	w
stare	fikse rigardi	v.tr	w
look out	elrigardi	v.	w
go and see	iros rigardi	phr. lit 'go look'	
beheld	rigardis	v.	
looking	rigardante	adv.
gazing	rigardante	adv.
looked on	rigardas	v.	
looking back	retrorigardante	adv.	w
peering	esplorrigardante	adv.	
peering	rigardante	adv.	

glance	ekrigardi	v.tr	w
stares hard	fikse rigardas forte	phr.
have been watching	estis rigardanta	phr.
peer	elrigardi	v.tr	w
look away	forrigardi	v.ntr 	w
looks after	pririgardas	v.tr	w
watched	rigardas	v.tr
watching	rigardardante	adv.
peep in	enrigardi	v.tr	w
staring	rigardante fikse	adv.	w
look through	trarigardi	v.tr	W

# -RIGARDO-
eye	rigardo	n. fig. gaze	
glance	ĵeta rigardo	n.	
look	rigardi	v.tr to look at with the eyes	
view	rigardo	n.	
survey	superrigardo	n. overview	

# -APER-
disappeared	malaperis	v.	
vanish	malaperi	v.	
disappearance	malapero	n.
peep	ekaperi	v.ntr	w
aperture	aperturo	n.	w
breaking	ekaperanta	adj. in the sense of suddenly appearing
